DESTIP,domain_name
8.8.8.8,dns.google
202.71.140.36,None
202.71.140.36,None
8.8.8.8,dns.google
54.231.242.147,None
54.231.242.147,None
31.13.86.8,edge-star-shv-01-mxp1.facebook.com
52.24.18.136,ec2-52-24-18-136.us-west-2.compute.amazonaws.com
74.125.130.188,sb-in-f188.1e100.net
106.187.38.150,None
192.12.31.105,None
8.8.8.8,dns.google
8.8.8.8,dns.google
8.8.8.8,dns.google
8.8.8.8,dns.google
8.8.8.8,dns.google
192.12.31.101,None
140.205.203.96,None
8.8.8.8,dns.google
8.8.8.8,dns.google
8.8.8.8,dns.google
31.13.79.251,None
31.13.79.251,None
74.125.130.188,sb-in-f188.1e100.net
74.125.68.109,sc-in-f109.1e100.net
173.194.36.101,None
23.57.209.39,a23-57-209-39.deploy.static.akamaitechnologies.com
31.13.86.8,edge-star-shv-01-mxp1.facebook.com
173.194.36.106,None
173.194.36.106,None
31.13.86.2,edge-mqtt-shv-01-mxp1.facebook.com
74.125.130.188,sb-in-f188.1e100.net
66.196.116.132,unknown.yahoo.com
173.194.36.96,None
